公司代码	公司简称	A股上市日期	A股总股本	A股流通股本
000001	平安银行	1991-04-03	17,170,411,366	17,170,246,773
000002	万  科Ａ	1991-01-29	9,724,196,533	9,715,170,043
000004	国农科技	1990-12-01	83,976,684	82,933,609
000005	世纪星源	1990-12-10	1,058,536,842	951,222,460
000006	深振业Ａ	1992-04-27	1,349,995,046	1,347,786,178
000007	全新好	1992-04-13	346,448,044	308,948,044
000008	神州高铁	1992-05-07	2,818,329,809	2,556,585,034
000009	中国宝安	1991-06-25	2,149,344,971	2,119,789,066
000010	美丽生态	1995-10-27	819,854,713	522,170,348
000011	深物业A	1992-03-30	528,373,849	175,862,626
000012	南  玻Ａ	1992-02-28	1,854,759,873	1,777,134,679
000014	沙河股份	1992-06-02	201,705,187	201,705,187
000016	深康佳Ａ	1992-03-27	1,596,593,800	1,596,574,300
000017	深中华A	1992-03-31	302,984,965	302,981,008
000018	神州长城	1992-06-16	1,434,441,780	995,584,713
000019	深深宝Ａ	1992-10-12	1,100,785,974	415,964,578
000020	深华发Ａ	1992-04-28	181,165,391	181,165,391
000021	深科技	1994-02-02	1,471,259,363	1,470,715,176
000023	深天地Ａ	1993-04-29	138,756,240	138,756,240
000025	特  力Ａ	1993-06-21	270,881,600	270,881,600
000026	飞亚达Ａ	1993-06-03	357,096,881	356,716,368
000027	深圳能源	1993-09-03	3,964,491,597	3,964,491,597
000028	国药一致	1993-08-09	373,241,383	307,744,355
000029	深深房Ａ	1993-09-15	891,660,000	891,591,000
000030	富奥股份	1993-09-29	1,762,733,196	1,756,596,338
000031	中粮地产	1993-10-08	1,813,731,596	1,813,722,808
000032	深桑达Ａ	1993-10-28	413,219,661	279,437,184
000034	神州数码	1994-05-09	654,070,434	357,889,640
000035	中国天楹	1994-04-08	1,351,521,423	1,281,089,502
000036	华联控股	1994-06-17	1,141,487,712	1,135,398,185
000037	深南电A	1994-07-01	338,908,150	338,894,011
000038	深大通	1994-08-08	522,777,419	178,144,491
000039	中集集团	1994-04-08	1,268,412,327	1,267,649,801
000040	东旭蓝天	1994-08-08	1,486,873,870	1,060,313,364
000042	中洲控股	1994-09-21	664,831,139	662,051,839
