公司代码	公司简称	B股上市日期	B股总股本	B股流通股本
000011	深物业A	1992-03-30	67,605,243	67,605,243
000012	南  玻Ａ	1992-02-28	1,008,517,328	1,008,514,022
000016	深康佳Ａ	1992-03-27	811,351,608	811,351,608
000017	深中华A	1992-03-31	248,362,982	248,362,982
000018	神州长城	1992-06-16	263,803,231	263,803,231
000019	深深宝Ａ	1992-10-12	51,749,280	51,749,280
000020	深华发Ａ	1992-04-28	101,995,836	101,995,836
000025	特  力Ａ	1993-06-21	26,400,000	26,400,000
000026	飞亚达Ａ	1993-06-03	81,648,000	81,648,000
000028	国药一致	1993-08-09	54,885,600	54,884,475
000029	深深房Ａ	1994-01-10	120,000,000	120,000,000
000030	富奥股份	1993-09-29	47,818,915	47,818,915
000037	深南电A	1994-11-28	263,854,446	263,854,446
000045	深纺织Ａ	1994-08-15	49,500,000	49,428,000
000054	建车B	1995-07-25	30,000,000	30,000,000
000055	方大集团	1995-11-29	475,766,214	475,766,214
000056	皇庭国际	1995-10-30	244,051,660	243,022,941
000058	深 赛 格	1996-07-22	246,461,318	246,445,714
000152	山  航Ｂ	2000-09-12	140,000,000	139,999,775
000160	东沣B	2000-09-29	461,520,000	461,515,575
000168	舜喆B	2000-10-27	154,575,000	154,563,600
000413	东旭光电	1996-07-08	250,000,001	250,000,001
000418	小天鹅Ａ	1996-07-18	191,035,872	191,035,872
000429	粤高速Ａ	1996-08-15	348,750,000	348,646,050
000468	宁通信B	1997-05-22	100,000,000	100,000,000
000488	晨鸣纸业	1997-05-26	706,385,266	706,315,966
000505	京粮控股	1995-06-29	64,975,000	64,975,000
000512	闽灿坤Ｂ	1993-06-30	185,391,680	185,391,680
000521	长虹美菱	1996-08-28	162,864,000	161,596,580
000530	大冷股份	1998-03-20	241,500,000	241,500,000
000539	粤电力Ａ	1995-06-28	798,408,000	798,408,000
000541	佛山照明	1995-08-08	322,071,750	313,138,451
000550	江铃汽车	1995-09-29	344,000,000	344,000,000
000553	沙隆达Ａ	1997-05-15	167,049,341	167,049,341
000570	苏常柴Ａ	1996-09-13	150,000,000	150,000,000
000581	威孚高科	1995-09-11	172,380,000	172,380,000
000596	古井贡酒	1996-06-12	120,000,000	120,000,000
000613	大东海A	1996-10-08	88,000,000	88,000,000
000625	长安汽车	1996-11-08	901,986,142	901,986,142
000706	瓦轴B	1997-03-25	158,600,000	158,598,875
000725	京东方Ａ	1997-06-10	936,113,488	936,113,488
000726	鲁  泰Ａ	1997-08-19	360,718,911	242,201,061
000761	本钢板材	1997-07-08	400,000,000	400,000,000
000771	杭汽轮Ｂ	1998-04-28	274,185,600	274,029,944
000869	张  裕Ａ	1997-09-23	232,003,200	232,003,200
000986	粤华包Ｂ	2000-07-06	171,925,000	171,904,900
000992	中  鲁Ｂ	2000-07-24	138,000,000	138,000,000
001872	招商港口	1993-05-05	179,895,430	179,862,380
