交易日期	证券代码	证券简称	前收	今收	升跌(%)	成交金额(元)	市盈率
2019-11-29	000001	平安银行	15.49	15.29	-1.29	1,001,451,096.26	11.00
2019-11-29	000002	万  科Ａ	27.80	27.70	-0.36	1,242,373,843.18	9.05
2019-11-29	000004	国农科技	19.51	19.91	2.05	30,386,380.44	0.00
2019-11-29	000005	世纪星源	2.94	2.93	-0.34	7,572,315.12	20.84
2019-11-29	000006	深振业Ａ	5.13	5.12	-0.19	21,296,194.94	7.91
2019-11-29	000007	全新好	10.00	10.01	0.10	29,272,732.00	0.00
2019-11-29	000008	神州高铁	3.48	3.51	0.86	51,626,363.44	30.03
2019-11-29	000009	中国宝安	4.45	4.47	0.45	32,563,374.46	53.92
2019-11-29	000010	*ST美丽	3.30	3.30	0.00	1,896,826.57	0.00
2019-11-29	000011	深物业A	9.07	9.01	-0.66	10,912,674.97	9.06
2019-11-29	000012	南  玻Ａ	4.35	4.37	0.46	23,517,270.68	30.39
2019-11-29	000014	沙河股份	8.71	8.74	0.34	7,219,439.67	12.08
2019-11-29	000016	深康佳Ａ	4.00	4.03	0.75	17,942,439.91	23.59
2019-11-29	000017	深中华A	4.31	4.26	-1.16	15,534,295.00	0.00
2019-11-29	000018	神城A退	0.54	0.49	-9.26	276,654.00	0.00
2019-11-29	000019	深粮控股	5.87	5.85	-0.34	13,607,217.27	21.87
2019-11-29	000020	深华发Ａ	10.19	10.23	0.39	10,544,691.41	881.90
2019-11-29	000021	深科技	9.53	9.57	0.42	108,004,039.76	26.56
2019-11-29	000023	深天地Ａ	12.32	12.20	-0.97	14,524,217.99	64.31
2019-11-29	000025	特  力Ａ	20.06	19.90	-0.80	37,555,007.93	98.66
2019-11-29	000026	飞亚达Ａ	8.26	8.44	2.18	42,215,842.54	20.34
2019-11-29	000027	深圳能源	6.00	6.02	0.33	21,780,049.95	34.56
2019-11-29	000028	国药一致	44.08	43.61	-1.07	90,492,094.99	15.42
2019-11-29	000029	深深房Ａ	10.97	10.97	0.00	0.00	22.04
2019-11-29	000030	富奥股份	4.62	4.62	0.00	10,570,281.20	9.49
